lemma,cat,def,etym,fam,proc,aff,rad,etym_mean,lang,base,etym_fam,label
gravidisme,Nom commun,['Ensemble des conditions que présente la femme enceinte durant sa grossesse.'],"['Dérivé de gravide, avec le suffixe -isme.']","['ceindre', 'ceint', 'déceindre', 'enceindre', 'enceinte', 'gravidisme']",['suffixation'],['-isme'],gravid-,"[('', '')]",latin,enceinte,[],supplétion rare
crustacé,Adjectif,['Qui est couvert d’une enveloppe dure et souvent articulée.'],['Du latin crusta (« croûte ») et -acé.'],"['croûteux', 'croustinette', 'croute', 'crouter', 'croûtage', 'croûte', 'croûtelette', 'croûter', 'crustacite', 'crustacé', 'crustacéen', 'décrouter', 'décroûtage', 'décroûter', 'décrustation', 'décruster', 'désencroûter', 'encroutement', 'encrouter', 'encroûtement', 'encroûter', 'encroûté']",['suffixation'],['-acé'],crust-,"[('crusta', 'croûte')]",latin,croûte,"['crustacite', 'crustacéen', 'décrustation', 'décruster']",supplétion rare
marmoréen,Adjectif,['Qui a la nature ou l’apparence du marbre.'],['Du latin marmoreus (« de marbre »).'],"['marbrage', 'marbre', 'marbrer', 'marbreur', 'marbreuse', 'marbrier', 'marbrière', 'marbré', 'marmorisation', 'marmoriser', 'marmoréen']",['suffixation'],['-éen'],marmor-,"[('marmoreus', 'de marbre')]",latin,marbre,"['marmorisation', 'marmoriser']",supplétion régulière
nord,Nom commun,"[""Celui des quatre points cardinaux opposé au sud et qui correspond à la direction de l’étoile polaire ; direction du pôle de l'hémisphère boréal et correspondant à l'azimut 360°.""]","['Du vieil anglais norþ, lui-même issu du proto-germanique *nurtha de *ner (gauche [au lever du soleil]).', 'Note : Employé d’abord en Normandie d’où il est progressivement passé dans l’usage des autres régions.']","['Noratlas', 'nordique', 'nordir', 'nordiste', 'septentrion', 'sud', 'nord', 'nordet', 'nordette', 'nordicisme', 'nordiciste', 'nordicité', 'nordien', 'nordisme', 'norditude', 'nordé', 'norrois', 'Nord', 'Nordien', 'Nordiste', 'Notre-Dame-du-Lac-Saint-Jean-Partie-Nord']",[],[],NULL,[],NULL,NULL,[],non dérivé
siège,Nom commun,['Meuble utilisé pour s’asseoir.'],"['Du latin sediculum (« siège, chaise, banquette ») diminutif de sedes, devenu en bas latin *sedicum de là siège. Il est lié au verbe latin sedere (« asseoir »).']","['assiéger', 'siéger', 'télésiège', 'cul', 'derrière', 'fondement', 'blocus', 'coussiège', 'sédile', 'multisiège', 'siège']",[],[],NULL,[],NULL,NULL,[],non dérivé
an,Nom commun,['Temps que met la Terre à accomplir une révolution autour du Soleil et qui se divise en douze mois. Année (voir Notes plus bas).'],"['Du latin annus (« cercle, an, âge, récolte de l’année »).']","['année', 'lustre', 'olympiade', 'siècle', 'annal', 'annalité', 'annuaire', 'annualité', 'annuel', 'année', 'décennaire', 'pluriannuel', 'quadriennal', 'quartanier', 'quartannier', 'semi-annuel', 'septennalisme', 'triennal', 'trisannuel', 'an']",[],[],NULL,[],NULL,NULL,[],non dérivé
antifébrile,Nom commun,['Remède contre les fièvres.'],"['Composé de anti-, fébrile et fièvre.']","['antifébrile', 'antipyrétique', 'enfièvrement', 'enfiévrer', 'enfiévré', 'fièvre', 'fiévrette', 'fiévreux', 'fébrile', 'fébriliser', 'fébrilité', 'pyrétique']","['préfixation', 'suffixation']","['anti-', '-ile']",-fébr-,"[('', '')]",latin,fièvre,"['fébrile', 'fébriliser', 'fébrilité']",supplétion régulière
main,Nom commun 1,"['Partie du corps humain située au bout du bras, qui s’étend du poignet jusqu’au bout des doigts, qui sert à la préhension et au toucher.']","[""Du moyen français main, de l’ancien français man , main, mein, du latin manus (« manus »), du proto-italique *manus, ultimement de l’indo-européen *man- (« main »), d'où le verbe albanais man (« porter ») cognat de l’espagnol mano, de l’italien mano, du portugais mão.""]","['baisemain', 'mainlevée', 'mainmettre', 'mainmise', 'mainmortable', 'mainmorte', 'mainmuable', 'maintenage', 'maintenance', 'mainteneur', 'maintenir', 'maintien', 'maniforme', 'manuel', 'tournemain', 'louche', 'manette', 'menotte', 'mimine', 'paluche', 'patoche', 'pince', 'pogne', 'torcheculs', 'centimane', 'maniabilité', 'maniable', 'maniage', 'manicle', 'maniement', 'manier', 'manière', 'maniérer', 'maniérisme', 'maniériste', 'maniette', 'manieur', 'manifestant', 'manifestatif', 'manifestation', 'manifestement', 'manifester', 'manille', 'maniller', 'manilleur', 'manillon', 'maniotte', 'manipulaire', 'manipulateur', 'manipulation', 'manipuler', 'manipuleur', 'manique', 'manivelle', 'manœuvrable', 'manœuvrant', 'manœuvre', 'manœuvrée', 'manœuvrer', 'manœuvrerie', 'manœuvrier', 'manoque', 'manoquer', 'manubaliste', 'manucaude', 'manucure', 'manucurer', 'manuducteur', 'manuduction', 'manuellement', 'manufacturable', 'manufacturer', 'manufacturier', 'manuluve', 'manumis', 'manumission', 'manuscription', 'manuscrit', 'manustupration', 'manutention', 'manutentionnaire', 'manutentionnel', 'manutentionner', 'manuterge', 'quadrumane', 'bras', 'immaniable', 'main', 'manieuse', 'manualiser', 'manualité', 'manîment', 'remaniable', 'remaniement', 'remanier', 'remanieur', 'remanieuse', 'acrochiriste']",[],[],NULL,[],NULL,NULL,[],non dérivé
myrmicéen,Adjectif,['Relatif aux fourmis.'],"['Du grec ancien μύρμηξ, mýrmêx (« fourmi »).']","['formique', 'biforme', 'fourmi', 'fourmiette', 'fourmilier', 'fourmilière', 'fourmillant', 'fourmillement', 'fourmiller', 'myrmicéen', 'Fourminette']",['suffixation'],['-éen'],myrmic-,"[('μύρμηξ, mýrmêx', 'fourmi')]",grec ancien,fourmi,[],supplétion rare
gibbeux,Adjectif,"['Qui est proéminent, en forme de bosse.']",['Du latin gibbosus (« bossu »).'],"['Bossette', 'bossage', 'bossariat', 'bosse', 'bosselage', 'bosseler', 'bosselette', 'bossellement', 'bosselure', 'bosselé', 'bosser', 'bossetier', 'bossette', 'bosseur', 'bosseuse', 'bosseux', 'bossier', 'bossier', 'bossinette', 'bossu', 'bossèlement', 'débosselage', 'débosseler', 'embossage', 'embosser', 'gibbeux', 'gibbosité']",['suffixation'],['-eux'],gibb-,"[('gibbosus', 'bossu')]",latin,bosse,['gibbosité'],supplétion rare
mer,Nom commun,['Vaste étendue d’eau salée qui baigne les diverses parties de la terre.'],,"['amerrir', 'amerrissage', 'ADM', 'MT', 'amarinage', 'amariner', 'amarinite', 'aurantiamarine', 'convallamarine', 'emmariner', 'héliomarin', 'marée', 'marin', 'marinade', 'marinage', 'marine', 'marinesque', 'marinette', 'marinier', 'marinisme', 'mariniste', 'maritime', 'transmarin', 'thalassophobie', 'terre', 'marinité', 'mer', 'sous-marin', 'sous-marinité', 'thalassien']",[],[],NULL,[],NULL,NULL,[],non dérivé
céleste,Adjectif,"['Qui appartient au ciel, pris pour l’espace qui semble former une voûte au-dessus de la terre.']","['Du latin caelestis, dérivé de caelum (ciel).']","['célestement', 'célestiser', 'astre', 'astronomie', 'ciel', 'ouranien', 'céleste', 'célestité']",['suffixation'],['-este'],cél-,"[('caelestis', ''), ('caelum', 'ciel')]",latin,ciel,"['célestement', 'célestiser', 'célestité']",supplétion régulière
vent,Nom commun,['Mouvement d’air extérieur et nettement perceptible suivant une direction déterminée.'],"['Du moyen français vent, de l’ancien français vent, du latin ventum, accusatif singulier de ventus.']","['abrivent', 'contrevent', 'contreventement', 'contreventer', 'déventer', 'évent', 'éventable', 'éventage', 'éventail', 'éventaillé', 'éventaillerie', 'éventaillier', 'éventailliste', 'éventaire', 'éventement', 'éventer', 'éventeur', 'éventiller', 'éventoir', 'grilauvent', 'reventer', 'surventer', 'ventage', 'ventail', 'ventaille', 'ventaison', 'venté', 'venteau', 'ventelet', 'venter', 'venterolles', 'venteur', 'venteux', 'ventier', 'ventilateur', 'ventilation', 'ventiler', 'ventileuse', 'ventillon', 'ventôse', 'virevent', '🌬', 'anémomètre', 'girouette', 'houlée', 'pétomane', 'déventement', 'Eole', 'Eolie', 'vent', 'ventosité', 'Éolien', 'éolien', 'éolisme']",[],[],NULL,[],NULL,NULL,[],non dérivé
caprin,Adjectif,['Relatif à la chèvre.'],"['Du latin caprinus (« de chèvre »), de caper (« bouc ») et capra (« chèvre »).']","['cabrette', 'caprin', 'caprinette', 'chabrette', 'chevrette', 'chevrettière', 'chevreuil', 'chevrier', 'Cabrette', 'chèvre']",['suffixation'],['-in'],capr-,"[('caprinus', 'de chèvre'), ('caper', 'bouc'), ('capra', 'chèvre')]",latin,chèvre,['caprinette'],supplétion rare
sel,Nom commun,"['Nom courant du chlorure de sodium, composé ionique, friable, soluble dans l’eau, que l’on extrait de la mer, de sources salées, de mines, et dont on se sert surtout pour assaisonner et conserver les aliments.']","['Du moyen français sel, issu de l’ancien français sel, lui-même du latin sāl (« sel, eau de mer, mer, esprit, finesse, plaisanterie piquante, élégance, délicatesse du goût »), issu de l’indo-européen commun *seh₂l-.', 'La racine indo-européenne a également donné sāļš (letton), salt (anglais), salann (gaélique irlandais), sůl (tchèque), Salz (allemand), sól (polonais), halen (gallois), salt (gothique), sal (vieux prussien), salila (sanskrit), salapia (illyrien), etc.', 'Le mot, dans les langues issues de l’indo-européen, est souvent lié à celui de « mer » comme θάλασσα, thálassa en grec, Salacia la déesse de la mer chez les Romains, sea en anglais, etc.']","['RSF', 'sélinot', 'sels', 'sursel', 'salade', 'saladier', 'salaire', 'salarial', 'salariat', 'salarié', 'salarier', 'salant', 'salaison', 'saloir', 'salé', 'salègre', 'saler', 'saleron', 'salière', 'salicole', 'saliculture', 'salifère', 'salifiable', 'salifier', 'salicorne', 'salignon', 'salin', 'saline', 'salinier', 'salinité', 'salorge', 'salpêtre', 'salpêtrière', 'Salzbourg', 'sauce', 'saucer', 'saucier', 'saucière', 'saucisse', 'saucisson', 'saucissonner', 'saucissonnage', 'saugrenu', 'saumâtre', 'saumure', 'saumurage', 'saumurer', 'saunage', 'saunaison', 'sauner', 'saunerie', 'saunier', 'saunière', 'saupoudrer', 'saupoudrage', 'gabelle', 'paludier', 'dessaliniser', 'désalinisation', 'désaliniser', 'insalifiable', 'resalage', 'resaler', 'salage', 'salaisonnier', 'saleur', 'saleuse', 'salification', 'saliniste', 'salinitude', 'salinière', 'saulnier', 'sel', 'SEL']",[],[],NULL,[],NULL,NULL,[],non dérivé
studieux,Adjectif,['Qui aime l’étude ; qui aime à étudier.'],['Du latin studiosus.'],"['studieusement', 'instudieux', 'studiosité', 'studieux', 'étude', 'étudier', 'étudié']",['suffixation'],['-ieux'],stud-,"[('studiosus', '')]",latin,étude,"['studieusement', 'instudieux', 'studiosité', 'studieux', 'studiosité']",supplétion régulière
tasse,Nom commun,"['Récipient pour boire, muni d’une anse.']","['De l’arabe طس, tass (« coupe, écuelle »), lui-même, selon certains, emprunté au persan تشت, tašt (« tasse »), soucoupe, ce qui serait inexact selon Lammens. Les dérivés تشت, tašt et طست, tast, respectivement persan et arabe, sont du même radical « de haute antiquité » arabe : طس, tas. Le mot est probablement passé en français par lintermédiaire de l’italien tazza ou du provençal tassa.']","['tassette', 'bol', 'tasse', 'tassetier', 'tassette']",[],[],NULL,[],NULL,NULL,[],non dérivé
mot,Nom commun,"['Succession de sons dans les langues parlées, ou de signes dans les langues des signes ou écrites, qui a un sens propre.']","['(Linguistique) Du latin muttum (« grognement, son ») dérivé de l’onomatopée mutmut (« murmure, son à peine distinct ») qui elle même vient de l’onomatopée mu (« murmure »). Il est passé du sens de « son » à « son qui décrit une parole, un verbe », puis « parole, discours ».', '(Informatique) Calque de l’anglais word (« mot »).']","['motet', 'motus', 'écrit', 'parole', 'borborygme', 'texte', 'phrase', 'proposition', 'syntagme', 'complément', 'noyau', 'sujet', 'glossaire', 'mot', 'MOT']",[],[],NULL,[],NULL,NULL,[],non dérivé
fauteuil,Nom commun,"['Siège comportant des accotoirs, et un dossier.']","['Du moyen français fauteuil, de l’ancien français faldestoed (XIIᵉ siècle), faudestuel (1165-1170) (Chrétien de Troyes), issu du vieux-francique *faldistôl (« siège pliant »).', 'Voir falten Stuhl en allemand, pour des équivalents modernes des composés du mot.']","['chesterfield', 'fauteuil']",[],[],NULL,[],NULL,NULL,[],non dérivé
polyadelphe,Adjectif,['Qui appartient à la polyadelphie.'],"['Motdérivé de adelphe (« frère »), avec le préfixe poly- (« plusieurs »).']","['diadelphe', 'diadelphique', 'fraternaliste', 'fraternalité', 'fraternel', 'fraternisation', 'fraterniser', 'frère', 'frérette', 'polyadelphe', 'adelphat']",['préfixation'],['poly-'],-adelphe,"[('adelphe', 'frère'), ('poly-', 'plusieurs')]",grec ancien,frère,"['diadelphe', 'diadelphique', 'adelphat']",supplétion régulière
fin,Nom commun 1,"[""Ce qui termine une chose, en marque la limite, en est l'extrémité.""]","[') Du latin fīnis (« confins, frontière, limite, borne, clôture ») dont est issu fīnīre (« borner, finir, cesser »).']","['confinement', 'confiner', 'confins', 'définir', 'définition', 'final', 'finalement', 'finalisation', 'finaliser', 'finalisme', 'finaliste', 'finalité', 'finance', 'financer', 'financement', 'financier', 'fini', 'finir', 'finissage', 'finissant', 'finisseur', 'finisseuse', 'finissure', 'finition', 'finitude', 'infini', 'infinité', 'demi-fini', 'fin', 'finale', 'finalitaire', 'finissement', 'finitif', 'finitisme', 'finitiste', 'finité', 'infiniste', 'infinitaire', 'infinitisme', 'infinitiste', 'infinitude', 'infinitéisme', 'semi-fini', 'semifini']",[],[],NULL,[],NULL,NULL,[],non dérivé
arbre,Nom commun,"['Végétal haut de plus de 7 mètres, dont la tige, appelée fût ou tronc, ne se garnit de branches et de feuilles qu’à une certaine hauteur. La partie constituée par les branches et les feuilles s’appelle houppier.']","['Du moyen français arbre, de l’ancien français arbre, du latin arbor.']","['arborescence', 'arbrisseau', 'arbuste', '🌲', '🌳', '🌴', '🎋', '\U0001fabe', 'arborescent', 'arboricole', 'arboriculteur', 'arboricultrice', 'arboriculture', 'arborisation', 'arborisé', 'arboriste', 'adryade', 'hamadryade', 'dendrochronologie', 'dendroïde', 'dendritique', 'kodama', 'arborer', 'arboriser', 'arbraie', 'arbre', 'arbret', 'arbreter', 'arbrier', 'arbrot', 'arbrée', 'dendrite', 'désherbage', 'désherbant', 'désherbement', 'désherber', 'enherbage', 'enherbement', 'enherber', 'erbee', 'herbage', 'herbagement', 'herbager', 'herbagère', 'herbaie', 'herbaçaie', 'herbe', 'herbelette', 'herber', 'herberaie', 'herbette', 'herbeux', 'herbier', 'herbillette', 'herbu']",[],[],NULL,[],NULL,NULL,[],non dérivé
funiculaire,Adjectif,['Qui est mis en mouvement par un ensemble de câbles ou de cordes.'],"['(Nom commun 1)Dérivé de funicule, avec le suffixe -aire.']","['cordage', 'cordaginet', 'corde', 'cordeler', 'cordelet', 'cordelette', 'cordelier', 'cordelière', 'cordelle', 'corder', 'cordette', 'cordier', 'cordiste', 'cordite', 'cordounette', 'cordé', 'décordage', 'décordement', 'décorder', 'désaccord', 'désaccordage', 'désaccordement', 'désaccorder', 'encordage', 'encordement', 'encorder', 'encordé', 'funiculaire', 'inaccordable', 'monocorde', 'monocordité', 'raccord', 'raccordement', 'raccorder', 'recordage', 'recordation', 'recordement', 'recorder', 'recordé', 'accord', 'accordabilité', 'accordable', 'accordage', 'accordement', 'accorder', 'accordeur', 'accordique']",['suffixation'],['-aire'],funicul-,"[('', '')]",latin,corde,[],supplétion rare
foliacé,Adjectif,"['Qui est de la nature des feuilles, qui a l’apparence d’une feuille.']",['Du latin foliaceus (« en forme de feuille »).'],"['foliesque', 'folliforme', 'défeuillage', 'défeuillaison', 'défeuillement', 'défeuiller', 'défoliation', 'défolier', 'enfeuiller', 'feuillage', 'feuillagiste', 'feuillaison', 'feuille', 'feuiller', 'feuilleret', 'feuillet', 'feuilletage', 'feuilletement', 'feuilleter', 'feuilleteur', 'feuillette', 'feuilleté', 'feuilliste', 'feuillu', 'feuillère', 'foliacé', 'foliaire', 'folié', 'phyllie', 'phyllien', 'quadrifolié', 'triphylle', 'unifolié']",['suffixation'],['-acé'],foli-,"[('foliaceus', 'en forme de feuille')]",latin,feuille,"['foliesque', 'folliforme', 'défoliation', 'défolier', 'foliaire', 'folié', 'quadrifolié', 'unifolié']",supplétion régulière
jour,Nom commun,"['Période de vingt-quatre heures, commençant généralement à minuit ; en certains lieux et à certaines époques, le jour commençait plutôt avec le lever ou le coucher du soleil.']","['Du moyen français jour, de l’ancien français jor, jorn , du latin diŭrnus (→ voir diurne), adjectif devenu substantif en bas latin de Gaule et d’Italie (en italien, giorno), où il a éliminé le classique dies, maintenu en Ibérie et Dacie (→ voir l’espagnol día, le gascon dia, le portugais dia et le roumain zi). Cognat du corse ghjornu \\ˈdjɔr.nu\\.']","['ajour', 'ajourer', 'ajournement', 'ajourner', 'aujourd’hui', 'bonjour', 'contrejour', 'déjour', 'jourd’hui', 'jourd’huy', 'journal', 'journaleux', 'journalier', 'journaliser', 'journalisme', 'journaliste', 'journalistique', 'journau', 'journée', 'journel', 'journellement', 'journoyer', 'réajourner', 'séjour', 'séjournement', 'séjourner', 'toujours', 'diurne', 'quotidien', 'nuit', 'fond', 'mois', 'semaine', 'weekend', 'biquotidien', 'diaire', 'jour', 'quotidiennat', 'quotidiennerie', 'quotidienneté']",[],[],NULL,[],NULL,NULL,[],non dérivé
ciel,Nom commun 1,['Espace immense dans lequel se meuvent tous les astres.'],"['Du latin caelum, de même sens.']","['atmosphère', 'azur', 'cosmos', 'firmament', 'voûte', 'zénith', 'aéronef', 'astre', 'avion', 'comète', 'éclipse', 'étoile', 'lune', 'météo', 'météore', 'nuage', 'ovni', 'phénomène', 'photométéore', 'planète', 'soleil', 'céleste', 'terre', 'sol', 'ciel', 'célestité']",[],[],NULL,[],NULL,NULL,[],non dérivé
table,Nom commun,"['Surface plane de bois, de pierre, de marbre, etc., posée sur un ou plusieurs pieds et qui sert à divers usages.']","['Du latin tabŭla (« planche, planchette »). Des divers usages de cette planche originelle (meuble, partie plane de certains objets, tablette pour écrire) sont issus les différents sens actuels.']","['attabler', 'attablement', 'DST', 'entablement', 'établi', 'établir', 'établissement', 'minitable', 'retable', 'rétabli', 'rétablir', 'rétablissement', 'tableau', 'tabler', 'tablette', 'tabuler', 'tabulation', 'entabler', 'tabellaire', 'tablage', 'table', 'tabler', 'tableur', 'tablier', 'tablier', 'tabulaire', 'tabularité', 'Table']",[],[],NULL,[],NULL,NULL,[],non dérivé
chaise,Nom commun,"['Siège avec dossier, sans accoudoirs.']","['De chaire par assibilation dialectale du \\r\\ intervocalique ; plus avant, du latin cathedra.', 'Dans les toponymes ou noms de bâtiments (→ voir Lachaise, La Chaise-Dieu, Chaise-Dieu-du-Theil, La Chaise-Baudouin et La Chaise), issu du latin casa (« maison »).']","['chaisier', 'chaisière', 'minichaise', 'seize', 'chaise', 'chaisette', 'chaisounette']",[],[],NULL,[],NULL,NULL,[],non dérivé
région,Nom commun,['Vaste territoire ; étendue de pays.'],"[""Du latin regio, lui-même de regere. Au XIIᵉ siècle, signifie « pays ». Comparez l'ancien français royon, rëon, reiun, hérités du même étymon.""]","['écorégion', 'eurorégion', 'ROM', 'régionnaire', 'régionalisation', 'régionaliser', 'régionalisme', 'régionaliste', 'coin', 'environ', 'regio', 'région', 'régional', 'régionalitude', 'régionalité', 'Région']",[],[],NULL,[],NULL,NULL,[],non dérivé
divitisme,Nom commun,['Extrême richesse.'],"['Du latin dives (gén.: divitis), « riche », et du suffixe -isme.']","['paupérisme', 'divitiaire', 'divitisme', 'richard', 'riche', 'richesse', 'richissime', 'richissimité']",['suffixation'],['-isme'],divit-,"[('dives (gén.: divitis)', 'riche')]",latin,riche,['divitiaire'],supplétion rare 
chat,Nom commun 1,"['Mammifère carnivore félin de taille moyenne, au museau court et arrondi, domestiqué, apprivoisé ou encore à l’état sauvage.']","['Du moyen français chat, de l’ancien français chat, du bas latin cattus « chat (domestique) », mot que certains rapprochent du copte (bohaïrique) ϣⲁⲩ, šau « matou », peut-être issu de l’égyptien moyen tešau « chatte ». Le classique felis, feles désignait le chat sauvage d’Europe (Felis silvestris silvestris).']","['anarchat', 'cataire', 'chatricide', 'chataire', 'chatière', 'chatillon', 'chatoiement', 'chaton', 'chatonner', 'chatoyant', 'chatoyer', 'chatron', 'chatte', 'chattement', 'chattemite', 'chattepeleuse', 'chattepelouse', 'chatteplouse', 'chatter', 'chatterie', 'déchatonner', 'enchatonnement', 'enchatonner', 'entrechat', 'greffier', 'Grippeminaud', 'minet', 'mistigri', 'Raminagrobis', 'matou', '🐈', '😸', '😼', '😽', '🙀', 'ailurophile', 'ailurophobe', 'ailurophobie', 'ailourophobie', 'feuler', 'feulement', 'galéphobie', 'miauler', 'miaulement', 'ronronner', 'ronronnement', 'chat', 'chater', 'chattounette', 'Chaminette', 'Chat', 'félin', 'félinité', 'tchat', 'tchate', 'tchater']",[],[],NULL,[],NULL,NULL,[],non dérivé
viaire,Adjectif,['Se dit de ce qui a trait à la voie publique.'],"['et (nom commun 1) Du latin via, avec le suffixe -aire.']","['biviaire', 'dévoiement', 'dévoyer', 'dévoyé', 'envoi', 'envoyer', 'envoyeur', 'envoyeuse', 'renvoi', 'renvoyer', 'renvoyette', 'renvoyeur', 'renvoyeuse', 'viaire', 'voie', 'voyer', 'voyette', 'émissaire']",['suffixation'],['-aire'],vi-,"[('via', '')]",latin,voie,['biviaire'],supplétion rare
terre,Nom commun,"['Sol sur lequel nous marchons, sur lequel les maisons sont construites, qui produit et nourrit les végétaux.']","['De l’ancien français terre, terra, du latin terra.']","['Angleterre', 'atterrir', 'atterrissage', 'atterrissement', 'atterrisseur', 'déterrage', 'déterré', 'déterrée', 'déterrement', 'déterrer', 'déterreur', 'enterrage', 'enterrement', 'enterrer', 'extraterrestre', 'fumeterre', 'redéterrer', 'réenterrer', 'terraformation', 'terrage', 'terrain', 'terramare', 'terraqué', 'terrarium', 'terrasse', 'terrassement', 'terrasser', 'terrassier', 'terreau', 'terreauter', 'terrer', 'terrestre', 'terreux', 'terricide', 'terricole', 'terrien', 'Terrien', 'terrier', 'terrière', 'terrigène', 'terrine', 'territoire', 'territorial', 'territorialité', 'terroir', 'Finistère', 'chthonien', 'chtonien', 'tellure', 'tellureux', 'tellurien', 'tellurique', 'tellurisme', 'tellurite', 'terrassette', 'terre', 'terrein', 'terrestritude', 'terrestrité', 'terrir', 'Terre']",[],[],NULL,[],NULL,NULL,[],non dérivé
locataire,Nom commun,"['Celui, celle qui occupe une maison ou une partie de maison à loyer.']",['Dérivé savant du latin locatum (« louer ») et -aire.'],"['colocataire', 'multilocataire', 'félicitation', 'féliciter', 'féliciteur', 'laudateur', 'laudatif', 'laudatrice', 'locataire', 'locateur', 'locatier', 'locatif', 'location', 'loquer', 'louable', 'louage', 'louageur', 'louange', 'louanger', 'louangette', 'louangeur', 'louangeur', 'louangeuse', 'louer', 'loueur', 'loueuse', 'loué', 'loyer', 'relocation', 'reloquer', 'relouage', 'relouer']",['suffixation'],['-aire'],locat-,"[('locatum', 'louer')]",latin,louer,"['colocataire', 'multilocataire', 'locateur', 'locatier', 'locatif', 'location', 'relocation']",supplétion régulière
